A,B,C,D,E,F,M,N,Q,R,S,G,A4,A5,A6,A7,A8,H,Y,Z,A1,A2,A3,J,T,U,V,W,X,K,L
Middle_Adult,Junior,YES,Excellent,Poor,YES,YES,YES,NO,Good,NO,YES,NO,NO,NO,YES,Good,YES,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
Middle_Adult,Senior,YES,Excellent,Excellent,NO,YES,NO,YES,Good,NO,YES,YES,YES,YES,NO,Good,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,NO,Poor,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
Young_Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,YES,Good,NO,YES,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,NO,Poor,YES,NO,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES
Adult,Intermediate,YES,Poor,Poor,YES,YES,YES,YES,Good,YES,NO,YES,YES,NO,NO,Good,YES,NO,YES,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,YES
Middle_Adult,Junior,YES,Excellent,Good,YES,YES,YES,YES,Good,NO,YES,YES,NO,YES,NO,Good,YES,NO,YES,YES,YES,YES,NO,YES,YES,YES,NO,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,NO,YES,Excellent,YES,NO,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,NO,Good,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Good,NO,YES,YES,YES,Good,NO,YES,YES,NO,YES,YES,Good,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,NO,YES,YES,Good,YES,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,YES
Adult,Intermediate,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,NO,Poor,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,YES,NO,NO,YES
Adult,Junior,YES,Poor,Poor,YES,NO,YES,NO,Good,NO,YES,YES,YES,YES,NO,Good,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,NO,Poor,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,NO,YES
Middle_Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Poor,YES,YES,YES,YES,YES,YES,Good,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES
Adult,Intermediate,NO,Poor,Poor,YES,YES,YES,NO,Good,NO,YES,YES,NO,YES,NO,Poor,YES,NO,YES,YES,NO,YES,NO,NO,YES,YES,YES,YES,NO,YES
Adult,Junior,YES,Excellent,Poor,YES,YES,YES,NO,Good,NO,YES,YES,YES,YES,YES,Poor,YES,NO,NO,NO,NO,YES,NO,YES,NO,YES,YES,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,NO,NO,YES,Good,YES,NO,NO,YES,NO,YES,NO,YES,YES,YES,YES,YES,NO,YES
Middle_Adult,Senior,YES,Excellent,Poor,YES,YES,YES,YES,Good,NO,YES,YES,YES,YES,NO,Poor,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES
Adult,Intermediate,YES,Excellent,Poor,YES,YES,NO,YES,Good,NO,YES,YES,YES,NO,YES,Good,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES,YES,NO,YES
