A,B,C,D,E,F,M,N,Q,R,S,G,A4,A5,A6,A7,A8,H,Y,Z,A1,A2,A3,J,T,U,V,W,X,K,L
Young_Adult,Junior,YES,Excellent,Good,YES,NO,NO,NO,Poor,NO,YES,NO,NO,NO,YES,Good,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO,YES
Adult,Senior,YES,Excellent,Poor,YES,YES,NO,YES,Good,NO,YES,YES,NO,YES,YES,Poor,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,YES,NO,YES
Young_Adult,Intermediate,YES,Excellent,Excellent,NO,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,YES,Good,YES,NO,NO,YES,NO,YES,NO,YES,NO,NO,YES,YES,NO,YES
Young_Adult,Junior,YES,Poor,Good,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,NO,Excellent,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO,YES
Adult,Intermediate,YES,Poor,Good,YES,YES,YES,YES,Excellent,YES,NO,YES,YES,NO,YES,Poor,YES,NO,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,NO,YES
Middle_Adult,Junior,NO,Excellent,Excellent,YES,YES,NO,NO,Excellent,YES,YES,YES,YES,YES,NO,Excellent,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES
Adult,Junior,YES,Poor,Good,YES,YES,NO,YES,Poor,NO,YES,NO,NO,NO,YES,Poor,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO,NO,YES,NO,YES
Middle_Adult,Intermediate,YES,Excellent,Good,YES,YES,YES,YES,Excellent,NO,YES,YES,NO,NO,YES,Poor,YES,NO,NO,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO,YES
Adult,Intermediate,YES,Excellent,Good,NO,NO,NO,NO,Good,YES,YES,NO,NO,NO,NO,Good,YES,YES,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,NO,YES
Adult,Senior,YES,Poor,Good,YES,YES,NO,YES,Excellent,YES,YES,NO,NO,NO,NO,Good,YES,NO,NO,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES
